mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,613]  Новость c заголовском(Американский боец Крис Ханикатт победил на турнире Roscongress Vladivostok Combat Night) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,690]  Новость c заголовском(В рамках ВЭФ-2019 пройдет забег в поддержку редких животных Дальнего Востока) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,765]  Новость c заголовском(Россия — Индия) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,845]  Новость c заголовском(В МИД России обсудили ход подготовки и повестку Экономического форума и Саммита Россия – Африка) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,918]  Новость c заголовском(Цифровое будущее транспортных коридоров через Дальний Восток: Международный опыт и российские реалии) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:01,988]  Новость c заголовском(Заявления для прессы по итогам российско-индийских переговоров) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,063]  Новость c заголовском(Фонд содействия социальному развитию «Инносоциум» и Фонд президентских грантов подписали соглашение о сотрудничестве на Восточном экономическом форуме) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,147]  Новость c заголовском(VIII Международная конференция АТЭС по образованию) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,232]  Новость c заголовском(На ВЭФ ПАО «ТрансКонтейнер» и корейская Pantos Logistics объединили усилия для увеличения транзита через территорию РФ) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,312]  Новость c заголовском(Россия — АСЕАН) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,394]  Новость c заголовском(На полях ВЭФ-2019 подписаны крупные соглашения) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,494]  Новость c заголовском(Пространство «Здоровое общество» начало работу в рамках ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,595]  Новость c заголовском(Олимпизм и АТР: взаимное влияние) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,678]  Новость c заголовском(Участники сообщества Friends for Leadership приняли участие в ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,755]  Новость c заголовском(Более 500 человек вышли на старт забега в поддержку редких видов животных Дальнего Востока на ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,840]  Новость c заголовском(На ВЭФ-2019 Фонд Росконгресс и VEB Ventures совместно с партнерами проведут интенсив для технологических компаний Дальнего Востока) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:02,925]  Новость c заголовском(Новые кадры для новой экономики: Как кардинально повысить качество образования?) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:03,007]  Новость c заголовском(Итоговая пресс-конференция заместителя Председателя Правительства РФ – полномочного представителя Президента РФ в ДФО Юрия Трутнева) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:03,088]  Новость c заголовском(Игроки сборной России по керлингу проведут мастер-класс для участников ВЭФ-2019) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:03,185]  Новость c заголовском(Дальневосточные стартапы провели презентации на питч-сессии Business Priority в рамках работы «Территории инноваций» на ВЭФ) уже есть в БД
mai_scroll_trying.py[LINE:200]# INFO     [2019-09-15 21:30:03,274]  Новость c заголовском(Российские регионы познакомят с возможностями циркулярной экономики Финляндии) уже есть в БД
